id,test_date,modelzoo_name,device_type,gpu_count,driver_version,sdk_version,vbios_version,pytorch_metax_version,pytorch_opensource_version,evaluation_framework,framework_metax_version,framework_version,hardware,pd_deployment_mode,model_name,model_params_precision,parallel_type_all,input_len,output_len,concurrency,num_prompts,request_rate,prefill_config,decoding_config,decode_command,prefill_command,minilb_command,decode_env,prefill_env,minilb_env,ttft,ttft_p90,ttft_p95,ttft_p99,tpot,tpot_p90,tpot_p95,tpot_p99,duration,request_per_second,real_concurrency,itl,input_tps,output_tps,total_tps,prefill_tgs,decode_tgs,median_ttft,median_tpot,max_itl,peak_tps,dataset,docker_image_name,command,server_command,client_command,ENV,misc_data
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2781, ""createdate"": ""2026-06-18T09:01:29.623056+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""20.49"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2782, ""createdate"": ""2026-06-18T09:01:29.623968+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""39.97"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2783, ""createdate"": ""2026-06-18T09:01:29.624583+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""62.51"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2784, ""createdate"": ""2026-06-18T09:01:29.625099+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""119.67"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2785, ""createdate"": ""2026-06-18T09:01:29.625677+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""184.86"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2786, ""createdate"": ""2026-06-18T09:01:29.626161+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""298.76"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2787, ""createdate"": ""2026-06-18T09:01:29.626658+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""463"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",3072,1024,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2788, ""createdate"": ""2026-06-18T09:01:29.627176+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""670.26"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2789, ""createdate"": ""2026-06-18T09:01:29.627682+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""19.08"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2790, ""createdate"": ""2026-06-18T09:01:29.628178+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""36.7"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
